purchase-date,sku,quantity-purchased,item-price,total-price,ship-postal-code
06-Oct-25,wtw-book-calendar-duo,4,399,1596,600017
06-Oct-25,wtw-book-calendar-duo,2,399,798,302017
06-Oct-25,wtw-book-calendar-duo,2,399,798,483225
06-Oct-25,wtw-book-calendar,1,399,399,600014
06-Oct-25,wtw-book-calendar-duo,2,399,798,500013
06-Oct-25,wtw-book-calendar-duo,2,399,798,400615
06-Oct-25,wtw-book-solo,1,399,399,785673
06-Oct-25,wtw-book-calendar-duo,2,399,798,411009
06-Oct-25,wtw-book-calendar-duo,2,399,798,122001
06-Oct-25,wtw-book-calendar-duo,4,399,1596,410206
06-Oct-25,wtw-book-calendar-duo,2,399,798,122001
07-Oct-25,wtw-book-solo,1,399,399,403505
07-Oct-25,wtw-book-solo,1,399,399,382445
07-Oct-25,wtw-book-solo,1,399,399,600096
07-Oct-25,wtw-book-solo,1,399,399,400706
07-Oct-25,wtw-book-calendar,1,399,399,400081
07-Oct-25,wtw-book-calendar,1,399,399,560038
07-Oct-25,wtw-book-calendar,1,399,399,482003
07-Oct-25,wtw-book-calendar,1,399,399,713205
07-Oct-25,wtw-book-calendar-duo,2,399,798,560043
07-Oct-25,wtw-book-calendar-duo,2,399,798,754001
08-Oct-25,wtw-book-calendar-duo,2,399,798,400088
08-Oct-25,wtw-book-solo,1,399,399,500089
08-Oct-25,wtw-book-solo,1,399,399,201002
08-Oct-25,wtw-book-solo,1,399,399,761032
08-Oct-25,wtw-book-calendar,1,399,399,751015
08-Oct-25,wtw-book-solo,1,399,399,560064
08-Oct-25,wtw-book-solo,1,399,399,575001
08-Oct-25,wtw-book-solo,1,399,399,143531
08-Oct-25,wtw-book-solo,1,399,399,364001
08-Oct-25,wtw-book-solo,1,399,399,400068
08-Oct-25,wtw-book-calendar,1,399,399,500013
08-Oct-25,wtw-book-solo,1,399,399,395009
08-Oct-25,wtw-book-solo,1,399,399,560103
08-Oct-25,wtw-book-calendar,1,399,399,126116
08-Oct-25,wtw-book-solo,1,399,399,600017
08-Oct-25,wtw-book-calendar,1,399,399,500075
08-Oct-25,wtw-book-calendar,1,399,399,400104
08-Oct-25,wtw-book-solo,1,399,399,560048
08-Oct-25,wtw-book-solo,1,399,399,506004
08-Oct-25,wtw-book-solo,1,399,399,502319
08-Oct-25,wtw-book-calendar-duo,2,399,798,382004
