purchase-date,sku,quantity-purchased,item-price,total-price,ship-postal-code
06-Oct-25,wtw-book-calendar-duo,2,399,798,400088
06-Oct-25,wtw-book-solo,1,399,399,411044
06-Oct-25,wtw-book-calendar-duo,2,399,798,122001
06-Oct-25,wtw-book-calendar-duo,2,399,798,678004
06-Oct-25,wtw-book-calendar-duo,2,399,798,247667
06-Oct-25,wtw-book-calendar,2,399,798,226003
06-Oct-25,wtw-book-calendar-duo,2,399,798,201309
06-Oct-25,wtw-book-calendar-duo,2,399,798,400057
06-Oct-25,wtw-book-calendar,1,399,399,122011
06-Oct-25,wtw-book-solo,5,399,1995,411009
06-Oct-25,wtw-book-calendar,10,399,3990,110091
06-Oct-25,wtw-book-calendar,1,399,399,440024
06-Oct-25,wtw-book-calendar,1,399,399,482002
06-Oct-25,wtw-book-calendar,1,399,399,110034
07-Oct-25,wtw-book-calendar-duo,2,399,798,560064
07-Oct-25,wtw-book-solo,1,399,399,682024
07-Oct-25,wtw-book-solo,1,399,399,282001
07-Oct-25,wtw-book-solo,1,399,399,444303
07-Oct-25,wtw-book-solo,1,399,399,396105
07-Oct-25,wtw-book-calendar,1,399,399,533003
07-Oct-25,wtw-book-solo,1,399,399,411061
07-Oct-25,wtw-book-solo,1,399,399,208011
07-Oct-25,wtw-book-calendar,1,399,399,785640
07-Oct-25,wtw-book-calendar-duo,2,399,798,800014
07-Oct-25,wtw-book-calendar,1,399,399,110008
07-Oct-25,wtw-book-solo,1,399,399,411046
07-Oct-25,wtw-book-calendar,1,399,399,302020
07-Oct-25,wtw-book-calendar-duo,2,399,798,122001
07-Oct-25,wtw-book-calendar-duo,2,399,798,560037
07-Oct-25,wtw-book-calendar-duo,2,399,798,735135
07-Oct-25,wtw-book-solo,1,399,399,122001
07-Oct-25,wtw-book-calendar-duo,2,399,798,490020
08-Oct-25,wtw-book-calendar,1,399,399,400026
08-Oct-25,wtw-book-solo,1,399,399,141012
08-Oct-25,wtw-book-solo,1,399,399,140701
08-Oct-25,wtw-book-calendar,1,399,399,492007
08-Oct-25,wtw-book-calendar,1,399,399,458441
08-Oct-25,wtw-book-calendar,1,399,399,110084
08-Oct-25,wtw-book-calendar,1,399,399,400057
08-Oct-25,wtw-book-solo,1,399,399,834010
08-Oct-25,wtw-book-solo,1,399,399,243722
08-Oct-25,wtw-book-solo,1,399,399,560016
08-Oct-25,wtw-book-solo,1,399,399,400706
08-Oct-25,wtw-book-calendar,1,399,399,500028
08-Oct-25,wtw-book-calendar,1,399,399,151001
08-Oct-25,wtw-book-solo,1,399,399,395003
08-Oct-25,wtw-book-solo,1,399,399,401303
08-Oct-25,wtw-book-calendar-duo,2,399,798,226005
08-Oct-25,wtw-book-solo,1,399,399,110062
08-Oct-25,wtw-book-solo,1,399,399,560038
08-Oct-25,wtw-book-calendar,1,399,399,211012
08-Oct-25,wtw-book-calendar,1,399,399,632002
08-Oct-25,wtw-book-solo,1,399,399,400093
08-Oct-25,wtw-book-solo,1,399,399,560036
08-Oct-25,wtw-book-solo,1,399,399,361004
08-Oct-25,wtw-book-calendar,1,399,399,603103
08-Oct-25,wtw-book-calendar,1,399,399,421201
08-Oct-25,wtw-book-calendar,1,399,399,421201
08-Oct-25,wtw-book-calendar,1,399,399,603103
08-Oct-25,wtw-book-solo,1,399,399,400702
08-Oct-25,wtw-book-solo,1,399,399,560004
08-Oct-25,wtw-book-solo,1,399,399,400083
08-Oct-25,wtw-book-calendar,1,399,399,700038
09-Oct-25,wtw-book-solo,1,399,399,226009
09-Oct-25,wtw-book-solo,1,399,399,560092
09-Oct-25,wtw-book-solo,1,399,399,560058
09-Oct-25,wtw-book-solo,1,399,399,110088
09-Oct-25,wtw-book-solo,1,399,399,302015
09-Oct-25,wtw-book-solo,1,399,399,400051
09-Oct-25,wtw-book-solo,1,399,399,110007
09-Oct-25,wtw-book-calendar,1,399,399,431122
09-Oct-25,wtw-book-calendar,1,399,399,600045
09-Oct-25,wtw-book-solo,1,399,399,712103
09-Oct-25,wtw-book-solo,1,399,399,311001
09-Oct-25,wtw-book-calendar,1,399,399,575003
09-Oct-25,wtw-book-calendar,1,399,399,560091
09-Oct-25,wtw-book-calendar,1,399,399,560076
09-Oct-25,wtw-book-calendar,1,399,399,733134
09-Oct-25,wtw-book-solo,1,399,399,411001
09-Oct-25,wtw-book-solo,1,399,399,133001
09-Oct-25,wtw-book-solo,1,399,399,411052
09-Oct-25,wtw-book-calendar-duo,2,399,798,711104
09-Oct-25,wtw-book-calendar,1,399,399,721301
09-Oct-25,wtw-book-calendar,1,399,399,560030
09-Oct-25,wtw-book-calendar,1,399,399,560016
09-Oct-25,wtw-book-solo,1,399,399,210507
09-Oct-25,wtw-book-solo,1,399,399,500009
09-Oct-25,wtw-book-solo,1,399,399,453555
09-Oct-25,wtw-book-solo,1,399,399,505001
09-Oct-25,wtw-book-calendar,1,399,399,600004
09-Oct-25,wtw-book-calendar,1,399,399,411014
09-Oct-25,wtw-book-solo,1,399,399,411038
09-Oct-25,wtw-book-solo,1,399,399,734001
09-Oct-25,wtw-book-solo,1,399,399,380013
09-Oct-25,wtw-book-calendar,1,399,399,410206
09-Oct-25,wtw-book-calendar,1,399,399,110052
09-Oct-25,wtw-book-solo,1,399,399,400093
09-Oct-25,wtw-book-solo,1,399,399,201306
09-Oct-25,wtw-book-solo,1,399,399,332001
09-Oct-25,wtw-book-solo,1,399,399,743251
09-Oct-25,wtw-book-calendar,1,399,399,590010
09-Oct-25,wtw-book-calendar,1,399,399,445302
09-Oct-25,wtw-book-calendar,1,399,399,560054
09-Oct-25,wtw-book-solo,1,399,399,522413
09-Oct-25,wtw-book-calendar-duo,2,399,798,110015
09-Oct-25,wtw-book-solo,1,399,399,174303
09-Oct-25,wtw-book-calendar,1,399,399,454775
09-Oct-25,wtw-book-calendar,1,399,399,560077
09-Oct-25,wtw-book-calendar,1,399,399,741235
09-Oct-25,wtw-book-calendar,1,399,399,490020
09-Oct-25,wtw-book-solo,1,399,399,530024
09-Oct-25,wtw-book-calendar-duo,2,399,798,560016
09-Oct-25,wtw-book-solo,1,399,399,721302
09-Oct-25,wtw-book-calendar,1,399,399,400064
09-Oct-25,wtw-book-calendar,1,399,399,400086
09-Oct-25,wtw-book-solo,1,399,399,412308
10-Oct-25,wtw-book-solo,1,399,399,834012
10-Oct-25,wtw-book-solo,1,399,399,110034
10-Oct-25,wtw-book-calendar,1,399,399,600087
10-Oct-25,wtw-book-solo,1,399,399,452018
10-Oct-25,wtw-book-solo,1,399,399,380007
10-Oct-25,wtw-book-solo,1,399,399,122017
10-Oct-25,wtw-book-solo,1,399,399,301001
10-Oct-25,wtw-book-solo,1,399,399,781015
10-Oct-25,wtw-book-solo,1,399,399,410218
10-Oct-25,wtw-book-solo,1,399,399,122011
10-Oct-25,wtw-book-solo,1,399,399,700163
10-Oct-25,wtw-book-solo,1,399,399,841401
10-Oct-25,wtw-book-calendar-duo,2,399,798,600036
10-Oct-25,wtw-book-solo,1,399,399,600061
10-Oct-25,wtw-book-solo,1,399,399,400705
10-Oct-25,wtw-book-calendar,1,399,399,560076
10-Oct-25,wtw-book-solo,1,399,399,600088
10-Oct-25,wtw-book-solo,1,399,399,421301
10-Oct-25,wtw-book-calendar,1,399,399,523105
10-Oct-25,wtw-book-solo,1,399,399,400101
10-Oct-25,wtw-book-calendar,1,399,399,440025
10-Oct-25,wtw-book-calendar,1,399,399,678731
10-Oct-25,wtw-book-solo,1,399,399,360005
10-Oct-25,wtw-book-solo,1,399,399,190009
10-Oct-25,wtw-book-solo,1,399,399,493773
10-Oct-25,wtw-book-solo,1,399,399,560097
10-Oct-25,wtw-book-calendar,1,399,399,144601
10-Oct-25,wtw-book-solo,1,399,399,211001
10-Oct-25,wtw-book-solo,1,399,399,799007
10-Oct-25,wtw-book-solo,1,399,399,587125
10-Oct-25,wtw-book-calendar,1,399,399,110032
10-Oct-25,wtw-book-solo,1,399,399,682024
10-Oct-25,wtw-book-calendar,1,399,399,391760
10-Oct-25,wtw-book-solo,1,399,399,141012
10-Oct-25,wtw-book-calendar,1,399,399,522002
10-Oct-25,wtw-book-solo,1,399,399,530016
10-Oct-25,wtw-book-calendar,1,399,399,400602
10-Oct-25,wtw-book-solo,1,399,399,600056
10-Oct-25,wtw-book-solo,1,399,399,500095
10-Oct-25,wtw-book-solo,1,399,399,226028
10-Oct-25,wtw-book-solo,1,399,399,456010
10-Oct-25,wtw-book-calendar,1,399,399,411060
10-Oct-25,wtw-book-solo,1,399,399,440024
10-Oct-25,wtw-book-solo,1,399,399,625002
10-Oct-25,wtw-book-solo,1,399,399,781334
10-Oct-25,wtw-book-solo,1,399,399,400604
10-Oct-25,wtw-book-calendar,1,399,399,560016
10-Oct-25,wtw-book-solo,1,399,399,800013
10-Oct-25,wtw-book-solo,2,399,798,741102
10-Oct-25,wtw-book-solo,1,399,399,226016
10-Oct-25,wtw-book-calendar,1,399,399,110067
10-Oct-25,wtw-book-calendar,1,399,399,600042
10-Oct-25,wtw-book-solo,1,399,399,400104
10-Oct-25,wtw-book-calendar-duo,2,399,798,382424
10-Oct-25,wtw-book-calendar,1,399,399,324007
10-Oct-25,wtw-book-solo,1,399,399,591113
10-Oct-25,wtw-book-solo,1,399,399,249203
10-Oct-25,wtw-book-solo,1,399,399,560076
10-Oct-25,wtw-book-calendar,1,399,399,326001
10-Oct-25,wtw-book-solo,1,399,399,396001
10-Oct-25,wtw-book-calendar,1,399,399,713104
10-Oct-25,wtw-book-calendar,1,399,399,802301
10-Oct-25,wtw-book-solo,1,399,399,110017
10-Oct-25,wtw-book-calendar,1,399,399,507101
10-Oct-25,wtw-book-calendar,1,399,399,393002
10-Oct-25,wtw-book-solo,1,399,399,411061
10-Oct-25,wtw-book-calendar,1,399,399,560037
10-Oct-25,wtw-book-solo,1,399,399,829107
10-Oct-25,wtw-book-solo,1,399,399,411057
10-Oct-25,wtw-book-solo,1,399,399,431203
10-Oct-25,wtw-book-solo,1,399,399,410206
10-Oct-25,wtw-book-solo,1,399,399,500026
10-Oct-25,wtw-book-solo,1,399,399,493663
10-Oct-25,wtw-book-solo,1,399,399,122002
10-Oct-25,wtw-book-calendar-duo,2,399,798,311001
