2026-03-11,Which acid is produced in the human stomach to aid digestion and nutrient absorption?,::Hydrochloric Acid,Carbonic Acid,Lactic Acid,Uric Acid
2026-03-12,Which place was the starting point of the Dandi March?,Surat,Anand,Dandi,::Sabarmati Ashram
2026-03-13,Which is the only planet in the Solar System named after a Greek God?,Neptune,::Uranus,Jupiter,Venus
2026-03-14,"Which country offered Albert Einstein Presidentship, which he eventually turned down?",Germany ,Switzerland,::Israel,USA
2026-03-15,Which category will make its debut at the 98th academy awards?,Adapted Screenplay,::Best Casting,Animated Short,Documentary Feature
2026-03-16,"Zahir-ud-din Muhammad, founder of the Mughal Empire in India was better known by what name?",::Babur,Bahadur Shah Zafar,Jahangir,Akbar
2026-03-17,Which zodiac sign is represented by two fish swimming in opposite directions?,Aries,Aquarius,Sagittarius,::Pisces
2026-03-18,Indian movie Kapoor & Sons is set in which hill station?,Ooty,Kotagiri,::Coonoor,Coorg
2026-03-19,Which watch manufacturing unit in India was inaugurated by Prime Minister Jawaharlal Nehru?,Bangalore Watch Co.,::HMT,Titan,Delhi Watch Co.
2026-03-20,Which actress made her debut in the Bollywood movie Swades?,::Gayatri Joshi,Gracy Singh,Sneha Ullal,Daisy Shah
2026-03-21,Which month of the Islamic calendar is Eid-Ul-Fitr celebrated in?,Ramadan,Safar,Muharram,::Shawwal
2026-03-22,What colour is an Antarctic icefish's blood?,White,Blue,::Transparent,Red
2026-03-23,Which country celebrates its Republic Day on March 23rd?,Nepal,::Pakistan,Myanmar,Serbia
2026-03-24,Which virus caused the Covid-19 pandemic?,::SARS-CoV-2,MERS-CoV,RSV,Influenza A
2026-03-25,Which city was Brazil's capital from 1549–1763?,Rio de Janeiro,Brasilia,::Salvador,São Paulo
2026-03-26,Which city is also called Lavapuri as it is believed to have been founded by Lord Ram's son Luv?,Kasur,Kashi,Lahar,::Lahore
2026-03-27,Paella is the national dish of which country?,Portugal,Andorra,::Spain,Morocco
2026-03-28,What time(local time) is Earth Hour generally observed around the world?,6 pm - 7 pm,::8:30 pm - 9:30 pm,6:30 pm - 7:30 pm,7 pm - 8 pm
2026-03-29,"""Pianoforte"" is the original full name for the piano, derived from Italian to mean?",::Soft-Loud,Slow-Fast,Detached-Attached,Loud-Louder
2026-03-30,"At which event is the ""Satyajit Ray Lifetime Achievement Award"" presented annually?",Filmfare Awards,National Film Awards,IIFA,::IFFI
2026-03-31,Who is the first Tirthankara in Jainism for the current time cycle?,Sambhav Nath,Abhinandan Swami,::Rishabh Dev,Mahaveer Swami
