2026-02-01,"Who holds the record for presenting the highest number of Union Budgets in India (10 in total) with the first one being on February 28,1959?",::Morarji Desai,Manmohan Singh,Nirmala Sitharaman ,Pranab Mukherjee
2026-02-02,The name of the 'Grammy' award was originally established as short for which of the following?,Grammar,Graham Bell,Instagram,::Gramophone
2026-02-03,"To which colour family do the shades Tiffany, Egyptian, Prussian, and Cobalt belong?",Purple,Green,::Blue,Yellow
2026-02-04,"The name of which disease derives from the Greek word karkinos, meaning 'crab'?",Chickenpox ,::Cancer,Typhoid,Malaria
2026-02-05,King Midas is famous in Greek mythology for having a 'touch' that turned everything into what material?,Silver,Diamond,Pearl,::Gold
2026-02-06,Which of the following colour is NOT present in the Olympics logo?,Black,Blue,::Purple,Green
2026-02-07,"In which Indian state are the cities of Orchha, Chanderi, Sagar, and Gwalior located?",::Madhya Pradesh,Andhra Pradesh,Uttar Pradesh,Nagaland
2026-02-08,"In the stock market, which animal represents falling prices because of the way it swipes its paws downward?",Pig,Bull ,Rabbit ,::Bear 
2026-02-09,Which of the following Vishal Bhardwaj's movie is NOT based on a Shakespeare play?,Maqbool,::O'Romeo,Omkara,Haider
2026-02-10,What was Tata Airlines renamed to in 1946 after becoming a public company?,IndiGo,Vistara,::Air-India Limited,Singapore Airlines
